id,pred
100000,0.5
100001,0.5
100002,0.5
100003,0.5
100004,0.5
100005,0.5
100006,0.5
100007,0.5
100008,0.5
100009,0.5
100010,0.5
100011,0.5
100012,0.5
100013,0.5
100014,0.5
100015,0.5
100016,0.5
100017,0.5
100018,0.5
100019,0.5
100020,0.5
100021,0.5
100022,0.5
100023,0.5
100024,0.5
100025,0.5
100026,0.5
100027,0.5
100028,0.5
100029,0.5
100030,0.5
100031,0.5
100032,0.5
100033,0.5
100034,0.5
100035,0.5
100036,0.5
100037,0.5
100038,0.5
100039,0.5
100040,0.5
100041,0.5
100042,0.5
100043,0.5
100044,0.5
100045,0.5
100046,0.5
100047,0.5
100048,0.5
100049,0.5
100050,0.5
100051,0.5
100052,0.5
100053,0.5
100054,0.5
100055,0.5
100056,0.5
100057,0.5
100058,0.5
100059,0.5
100060,0.5
100061,0.5
100062,0.5
100063,0.5
100064,0.5
100065,0.5
100066,0.5
100067,0.5
100068,0.5
100069,0.5
100070,0.5
100071,0.5
100072,0.5
100073,0.5
100074,0.5
100075,0.5
100076,0.5
100077,0.5
100078,0.5
100079,0.5
100080,0.5
100081,0.5
100082,0.5
100083,0.5
100084,0.5
100085,0.5
100086,0.5
100087,0.5
100088,0.5
100089,0.5
100090,0.5
100091,0.5
100092,0.5
100093,0.5
100094,0.5
100095,0.5
100096,0.5
100097,0.5
100098,0.5
100099,0.5
100100,0.5
100101,0.5
100102,0.5
100103,0.5
100104,0.5
100105,0.5
100106,0.5
100107,0.5
100108,0.5
100109,0.5
100110,0.5
100111,0.5
100112,0.5
100113,0.5
100114,0.5
100115,0.5
100116,0.5
100117,0.5
100118,0.5
100119,0.5
100120,0.5
100121,0.5
100122,0.5
100123,0.5
100124,0.5
100125,0.5
100126,0.5
100127,0.5
100128,0.5
100129,0.5
100130,0.5
100131,0.5
100132,0.5
100133,0.5
100134,0.5
100135,0.5
100136,0.5
100137,0.5
100138,0.5
100139,0.5
100140,0.5
100141,0.5
100142,0.5
100143,0.5
100144,0.5
100145,0.5
100146,0.5
100147,0.5
100148,0.5
100149,0.5
100150,0.5
100151,0.5
100152,0.5
100153,0.5
100154,0.5
100155,0.5
100156,0.5
100157,0.5
100158,0.5
100159,0.5
100160,0.5
100161,0.5
100162,0.5
100163,0.5
100164,0.5
100165,0.5
100166,0.5
100167,0.5
100168,0.5
100169,0.5
100170,0.5
100171,0.5
100172,0.5
100173,0.5
100174,0.5
100175,0.5
100176,0.5
100177,0.5
100178,0.5
100179,0.5
100180,0.5
100181,0.5
100182,0.5
100183,0.5
100184,0.5
100185,0.5
100186,0.5
100187,0.5
100188,0.5
100189,0.5
100190,0.5
100191,0.5
100192,0.5
100193,0.5
100194,0.5
100195,0.5
100196,0.5
100197,0.5
100198,0.5
100199,0.5
100200,0.5
100201,0.5
100202,0.5
100203,0.5
100204,0.5
100205,0.5
100206,0.5
100207,0.5
100208,0.5
100209,0.5
100210,0.5
100211,0.5
100212,0.5
100213,0.5
100214,0.5
100215,0.5
100216,0.5
100217,0.5
100218,0.5
100219,0.5
100220,0.5
100221,0.5
100222,0.5
100223,0.5
100224,0.5
100225,0.5
100226,0.5
100227,0.5
100228,0.5
100229,0.5
100230,0.5
100231,0.5
100232,0.5
100233,0.5
100234,0.5
100235,0.5
100236,0.5
100237,0.5
100238,0.5
100239,0.5
100240,0.5
100241,0.5
100242,0.5
100243,0.5
100244,0.5
100245,0.5
100246,0.5
100247,0.5
100248,0.5
100249,0.5
100250,0.5
100251,0.5
100252,0.5
100253,0.5
100254,0.5
100255,0.5
100256,0.5
100257,0.5
100258,0.5
100259,0.5
100260,0.5
100261,0.5
100262,0.5
100263,0.5
100264,0.5
100265,0.5
100266,0.5
100267,0.5
100268,0.5
100269,0.5
100270,0.5
100271,0.5
100272,0.5
100273,0.5
100274,0.5
100275,0.5
100276,0.5
100277,0.5
100278,0.5
100279,0.5
100280,0.5
100281,0.5
100282,0.5
100283,0.5
100284,0.5
100285,0.5
100286,0.5
100287,0.5
100288,0.5
100289,0.5
100290,0.5
100291,0.5
100292,0.5
100293,0.5
100294,0.5
100295,0.5
100296,0.5
100297,0.5
100298,0.5
100299,0.5
100300,0.5
100301,0.5
100302,0.5
100303,0.5
100304,0.5
100305,0.5
100306,0.5
100307,0.5
100308,0.5
100309,0.5
100310,0.5
100311,0.5
100312,0.5
100313,0.5
100314,0.5
100315,0.5
100316,0.5
100317,0.5
100318,0.5
100319,0.5
100320,0.5
100321,0.5
100322,0.5
100323,0.5
100324,0.5
100325,0.5
100326,0.5
100327,0.5
100328,0.5
100329,0.5
100330,0.5
100331,0.5
100332,0.5
100333,0.5
100334,0.5
100335,0.5
100336,0.5
100337,0.5
100338,0.5
100339,0.5
100340,0.5
100341,0.5
100342,0.5
100343,0.5
100344,0.5
100345,0.5
100346,0.5
100347,0.5
100348,0.5
100349,0.5
100350,0.5
100351,0.5
100352,0.5
100353,0.5
100354,0.5
100355,0.5
100356,0.5
100357,0.5
100358,0.5
100359,0.5
100360,0.5
100361,0.5
100362,0.5
100363,0.5
100364,0.5
100365,0.5
100366,0.5
100367,0.5
100368,0.5
100369,0.5
100370,0.5
100371,0.5
100372,0.5
100373,0.5
100374,0.5
100375,0.5
100376,0.5
100377,0.5
100378,0.5
100379,0.5
100380,0.5
100381,0.5
100382,0.5
100383,0.5
100384,0.5
100385,0.5
100386,0.5
100387,0.5
100388,0.5
100389,0.5
100390,0.5
100391,0.5
100392,0.5
100393,0.5
100394,0.5
100395,0.5
100396,0.5
100397,0.5
100398,0.5
100399,0.5
100400,0.5
100401,0.5
100402,0.5
100403,0.5
100404,0.5
100405,0.5
100406,0.5
